ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
7663587,HS467377,08/11/2010 02:00:00 PM,002XX S LAKE SHORE DR SB,0820,THEFT,$500 AND UNDER,OTHER,False,False,124,1.0,42.0,32.0,06,1179203.0,1899431.0,2010,02/10/2018 03:50:01 PM,41.879330299,-87.61745357,"(41.879330299, -87.61745357)"
9641716,HX292218,05/27/2014 03:00:00 PM,079XX S STATE ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,623,6.0,6.0,44.0,11,1177669.0,1852253.0,2014,02/10/2018 03:50:01 PM,41.749904766,-87.62451498200001,"(41.749904766, -87.624514982)"
2309682,HH597780,08/22/2002 04:30:00 PM,054XX S WINCHESTER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,False,915,9.0,16.0,61.0,08B,1164281.0,1868574.0,2002,02/28/2018 03:56:25 PM,41.794983976,-87.67311531600001,"(41.794983976, -87.673115316)"
5345282,HN199603,02/28/2007 03:00:52 AM,029XX E 80TH ST,2027,NARCOTICS,POSS: CRACK,STREET,True,False,422,4.0,7.0,46.0,18,1196972.0,1852485.0,2007,02/10/2018 03:50:01 PM,41.750083248,-87.55377402399999,"(41.750083248, -87.553774024)"
2083481,HH305197,04/13/2002 06:20:00 PM,060XX W FULLERTON AV,0560,ASSAULT,SIMPLE,CLEANING STORE,False,False,2512,25.0,,,08A,1135557.0,1915314.0,2002,02/28/2018 03:56:25 PM,41.923802451,-87.77733813799999,"(41.923802451, -87.777338138)"
10489316,HZ230178,04/17/2016 09:00:00 PM,003XX W 119TH ST,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,STREET,True,False,522,5.0,34.0,53.0,18,1176240.0,1826016.0,2016,02/10/2018 03:50:01 PM,41.677938993000005,-87.630536188,"(41.677938993, -87.630536188)"
2267149,HH000867,07/17/2002 10:00:00 AM,058XX N ELSTON AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,1622,16.0,45.0,11.0,05,1136828.0,1938344.0,2002,02/10/2018 03:50:01 PM,41.986976318,-87.77211374299999,"(41.986976318, -87.772113743)"
9032661,HW180736,03/05/2013 11:33:00 PM,040XX S WESTERN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,921,9.0,12.0,58.0,18,1161037.0,1877901.0,2013,02/10/2018 03:50:01 PM,41.820646175,-87.68475301299999,"(41.820646175, -87.684753013)"
4039174,HL383791,05/27/2005 06:30:00 PM,003XX N LA SALLE DR,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),False,False,1831,18.0,42.0,8.0,14,1175074.0,1902840.0,2005,02/28/2018 03:56:25 PM,41.888778301,-87.632512191,"(41.888778301, -87.632512191)"
9385052,HW528390,11/10/2013 03:22:00 PM,059XX W GRAND AVE,0460,BATTERY,SIMPLE,SIDEWALK,True,False,2515,25.0,37.0,19.0,08B,1136621.0,1913995.0,2013,02/10/2018 03:50:01 PM,41.920163966,-87.77346016799999,"(41.920163966, -87.773460168)"
