ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
6412266,HP494357,08/04/2008 06:30:00 PM,067XX W ARCHER AVE,0560,ASSAULT,SIMPLE,RESTAURANT,False,False,811,8.0,23.0,56.0,08A,1132440.0,1867332.0,2008,02/28/2018 03:56:25 PM,41.792187414000004,-87.789907287,"(41.792187414, -87.789907287)"
2438784,HH762010,11/05/2002 08:00:00 PM,109XX S WESTERN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),False,False,2212,22.0,19.0,75.0,07,1162337.0,1832096.0,2002,02/10/2018 03:50:01 PM,41.694923539,-87.681257655,"(41.694923539, -87.681257655)"
7469591,HS271204,04/23/2010 12:03:00 AM,0000X N MAY ST,031A,ROBBERY,ARMED: HANDGUN,ALLEY,False,False,1212,12.0,27.0,28.0,03,1168825.0,1900303.0,2010,02/10/2018 03:50:01 PM,41.881954351,-87.65553431,"(41.881954351, -87.65553431)"
3069305,HJ789504,11/30/2003 03:00:00 AM,020XX W MARQUETTE RD,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,726,7.0,15.0,67.0,08A,1163957.0,1860220.0,2003,02/10/2018 03:50:01 PM,41.772066333000005,-87.67453814,"(41.772066333, -87.67453814)"
11872816,JC486984,10/21/2019 08:00:00 AM,027XX W HARRISON ST,4651,OTHER OFFENSE,SEX OFFENDER: FAIL REG NEW ADD,OTHER,False,False,1135,11.0,28.0,27.0,26,1158248.0,1897253.0,2019,10/30/2019 03:53:06 PM,41.873807522,-87.69445629,"(41.873807522, -87.69445629)"
3357923,HK404267,06/01/2004 05:00:00 AM,039XX W 71ST ST,0820,THEFT,$500 AND UNDER,STREET,False,False,833,8.0,13.0,65.0,06,1151135.0,1857226.0,2004,02/28/2018 03:56:25 PM,41.764110218,-87.721618206,"(41.764110218, -87.721618206)"
11894028,JC513750,11/10/2019 10:00:00 AM,053XX N NEWLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,False,False,1613,16.0,41.0,10.0,14,1129346.0,1934857.0,2019,11/19/2019 03:53:49 PM,41.977538888000005,-87.799713107,"(41.977538888, -87.799713107)"
1769992,G584897,09/29/2001 06:45:00 PM,016XX W LE MOYNE ST,0460,BATTERY,SIMPLE,RESIDENCE,False,True,1433,14.0,,,08B,1165054.0,1910123.0,2001,08/17/2015 03:03:40 PM,41.908982046999995,-87.669102162,"(41.908982047, -87.669102162)"
3012626,HJ716431,10/25/2003 02:01:38 AM,132XX S FORRESTVILLE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,533,5.0,9.0,54.0,08B,1182324.0,1817492.0,2003,02/10/2018 03:50:01 PM,41.654409535999996,-87.608529235,"(41.654409536, -87.608529235)"
2691603,HJ313541,04/10/2003 02:30:00 PM,027XX W WASHINGTON BLVD,0460,BATTERY,SIMPLE,STREET,False,False,1331,12.0,2.0,27.0,08B,1158045.0,1900569.0,2003,02/28/2018 03:56:25 PM,41.882911088,-87.695111077,"(41.882911088, -87.695111077)"
2781948,HJ428595,06/14/2003 01:25:00 PM,016XX W 47TH ST,0560,ASSAULT,SIMPLE,CTA BUS,False,False,931,9.0,20.0,61.0,08A,1166380.0,1873552.0,2003,02/28/2018 03:56:25 PM,41.808599694,-87.66527639,"(41.808599694, -87.66527639)"
1722697,G515572,08/28/2001 10:55:00 PM,022XX W MADISON ST,2027,NARCOTICS,POSS: CRACK,PARKING LOT/GARAGE(NON.RESID.),True,False,1211,12.0,,,18,1161346.0,1899936.0,2001,08/17/2015 03:03:40 PM,41.881106076,-87.68300727200001,"(41.881106076, -87.683007272)"
10690995,HZ445106,09/18/2016 09:00:00 PM,036XX N SAYRE AVE,0810,THEFT,OVER $500,STREET,False,False,1632,16.0,36.0,17.0,06,1129101.0,1923452.0,2016,02/10/2018 03:50:01 PM,41.946246523,-87.80087473399999,"(41.946246523, -87.800874734)"
10872436,JA180350,03/07/2017 10:00:00 AM,038XX W FLOURNOY ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,1133,11.0,24.0,26.0,26,1150931.0,1896756.0,2017,02/10/2018 03:50:01 PM,41.872590005,-87.721333979,"(41.872590005, -87.721333979)"
4702557,HM307979,04/23/2006 07:00:00 AM,063XX N MC CORMICK RD,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,False,False,1711,17.0,50.0,13.0,06,1153062.0,1941811.0,2006,02/28/2018 03:56:25 PM,41.996182506,-87.71231183299999,"(41.996182506, -87.712311833)"
8433790,HV104831,01/04/2012 03:46:00 PM,046XX W BELMONT AVE,2022,NARCOTICS,POSS: COCAINE,VEHICLE NON-COMMERCIAL,True,False,1731,17.0,30.0,15.0,18,1144902.0,1920872.0,2012,02/10/2018 03:50:01 PM,41.93888273,-87.74285990799999,"(41.93888273, -87.742859908)"
11141900,JA501741,11/06/2017 07:45:00 PM,095XX S GREEN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2223,22.0,21.0,73.0,08B,1172330.0,1841383.0,2017,02/10/2018 03:50:01 PM,41.720195033,-87.644398162,"(41.720195033, -87.644398162)"
4926343,HM542111,08/11/2006 09:00:00 PM,109XX S TRUMBULL AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,2211,22.0,19.0,74.0,06,1155282.0,1831951.0,2006,02/28/2018 03:56:25 PM,41.694669294,-87.707092282,"(41.694669294, -87.707092282)"
11805431,JC405779,08/24/2019 06:33:00 PM,055XX S PRAIRIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,231,2.0,20.0,40.0,14,1178989.0,1868154.0,2019,08/31/2019 04:06:01 PM,41.793508827,-87.619194139,"(41.793508827, -87.619194139)"
